VASP_Metal_H18.vasp,-2.069102704
VASP_Metal_H4.vasp,-1.393410372
VASP_Metal_H15.vasp,-1.964786588
VASP_Metal_H20.vasp,-2.10452911
VASP_Metal_H1.vasp,-1.180052805
VASP_Metal_H10.vasp,-1.764944767
VASP_Metal_H11.vasp,-1.786949292
VASP_Metal_H6.vasp,-1.511501371
VASP_Metal_H12.vasp,-1.831738773
VASP_Metal_H16.vasp,-2.019054913
VASP_Metal_H17.vasp,-2.049680509
VASP_Metal_H7.vasp,-1.55818539
VASP_Metal_H8.vasp,-1.521380796
VASP_Metal_H14.vasp,-1.915458105
VASP_Metal_H13.vasp,-1.897532667
VASP_Metal_H5.vasp,-1.466199966
VASP_Metal_H3.vasp,-1.341249198
VASP_Metal_H2.vasp,-1.230460022
VASP_Metal_H9.vasp,-1.665452936
